data0000	0	*	子供 です が 何 か ？
data0001	0	*	子供 は 世界 の 宝物
data0002	0	*	*A
data0003	0	*	さあ 、 子供 達 と 共に 。
data0004	0	*	春 の 子供 。
data0005	0	*	まだ 子供 やっ ちゅーねーん ！
data0006	0	*	子供 日和
data0007	0	*	子供 最高
data0008	0	*	熱い ぜ ッ ！ 夏 の 子供
data0009	0	*	かんば れ ！ ニッポン ！ の 子供 ！
data0010	0	*	子供 時間 、 最後の 恋人 。
data0011	0	*	脱 ・ 子供 宣言 。
data0012	0	*	「 これ は 子供 で は ない 」 あるいは 記号 と 体 の 現在 的 ポジシオン
data0013	0	*	BAKA ! LO
data0014	0	*	This
data0015	0	*	光 の 魔法
data0016	0	*	あなた は 芸術 である 。
data0017	0	*	私 は 海 に なり た いっ ！
data0018	0	*	ただ いみ ゃ ゛ー 。
data0019	0	*	「 ほら 。 拍手 が 止んだ 。 」
data0020	0	*	「 僕 は 、 ロリコン であって よかった と 、 時々 思う 。 」
data0021	0	*	あなた に 愛 を
data0022	0	*	Let ' s
data0023	0	*	この 美しき 日本
data0024	0	*	それ でも 世界 は 美しい
data0025	0	*	君 が いれば 、 ゲーム は いら ない 。
data0026	0	*	練習 、 青春 、 ディシプリン 。
data0027	0	*	て ゆうか むしろ これ が いい 。
data0028	0	*	「 どこ に も ない 、 どこ か へ 。 」
data0029	0	*	健全 （ エロス ） なる もの
data0030	0	*	ライトノベル より 、 ちょっと エッチ かも ♡
data0031	0	*	「 ・ ・ ・ ぬ おっ ！ 」
data0032	0	*	「 つい 見とれて しまう 私 は 、 ロリコン な の かも しれ ませ ん 。 」
data0033	0	*	天使 の スピード
data0034	0	*	！ ！ ん まい 。
data0035	0	*	おはよう ！
data0036	0	*	巡り 来る 少女
data0037	0	*	「 僕 は 生きる 。 君 の ため に 。 」
data0038	0	*	「 ただいま 地球 は 、 静かに 寒い 。 」
data0039	0	*	「 君 は 遠く 輝く 。 僕 は 少し 泣く 。 」
data0040	0	*	夏 ・ 大 爆発 ！
data0041	0	*	ぼく は 奇妙に 明るい 夜 の こと を 、 今 でも 思い出す 。
data0042	0	*	The
data0043	0	*	幸福 は ここ に 。 そして すべて に 。
data0044	0	*	そのうち 、 どこ か が 、 目的 地 。
data0045	0	*	雪 の 甘 み 。 白 の 暖か さ 。
data0046	0	*	陽だまり の 神様
data0047	0	*	ファンシー PINK タイフ ～ン ♥ ♥
data0048	0	*	賭けろ 。 未来 へ 。
data0049	0	*	" HANAKO "
data0050	0	*	「 母 は 、 少女 であった 。 」
data0051	0	*	すっ げー ！
data0052	0	*	恋したら 僕 ら は 泡 に なり 、 消えて ゆく 。
data0053	0	*	SEA - THROUGH
data0054	0	*	「 9 月 30 日 に LO 画集 出る んや けどぉ 。 」
data0055	0	*	おしまい の 、 ちょっと 前 。 生き物 ぜんぶ ミカン 色 。
data0056	0	*	夏 は 泣いて いた 。
data0057	0	*	NO
